eventId;parentEventId;eventDate;year;month;samplingProtocol;locality;decimalLatitude;decimalLongitude;providedScientificName;scientificName;measurementRemarks;bodyLength;ashFreeDryWeight;dryWeight;eunisHabitatsTypeName
9;15;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;3.421;0.636;1.928;Surface running waters
9;15;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;3.421;0.445;1.348;Surface running waters
9;15;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;3.842;0.735;2.227;Surface running waters
9;15;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;3.895;0.704;2.134;Surface running waters
9;15;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;4.316;0.958;2.903;Surface running waters
9;15;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;5;1.309;3.966;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;0.526;0.001;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;0.526;0.001;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;0.789;0.004;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;0.789;0.004;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;0.842;0.005;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1;0.009;;Surface running waters
