catalogNumber;eventId;parentEventId;eventDate;locality;decimalLatitude;decimalLongitude;phylum;class;family;order;providedScientificName;scientificName;ashFreeDryWeight;ashWeight;dryWeight;bodyLength
13934;b;1;12/06/08;acquatina;40.436833;18.247778;Mollusca;Gastropoda;Cerithiidae;[unassigned] Caenogastropoda;Bittium reticulatum;Bittium reticulatum;1.240101584;91.95;15.40498862;8.95
13920;b;1;12/06/08;acquatina;40.436833;18.247778;Mollusca;Gastropoda;Cerithiidae;[unassigned] Caenogastropoda;Bittium reticulatum;Bittium reticulatum;1.277913475;91.95;15.87470155;9.08
14210;a;3;12/06/08;acquatina;40.441806;18.240306;Mollusca;Gastropoda;Cerithiidae;[unassigned] Caenogastropoda;Bittium reticulatum;Bittium reticulatum;2.816539216;91.95;34.98806479;13.27
14211;b;3;12/06/08;acquatina;40.441806;18.240306;Mollusca;Gastropoda;Cerithiidae;[unassigned] Caenogastropoda;Bittium reticulatum;Bittium reticulatum;4.782041758;91.95;59.40424544;17.11
14212;c;3;12/06/08;acquatina;40.441806;18.240306;Mollusca;Gastropoda;Cerithiidae;[unassigned] Caenogastropoda;Bittium reticulatum;Bittium reticulatum;5.779958753;91.95;71.80072985;18.74
14213;e;3;12/06/08;acquatina;40.441806;18.240306;Mollusca;Gastropoda;Cerithiidae;[unassigned] Caenogastropoda;Bittium reticulatum;Bittium reticulatum;6.400231903;91.95;79.50598637;19.68
13943;a;1;12/06/08;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Portunidae;Decapoda;Carcinus mediterraneus;Carcinus mediterraneus;6.446958671;58.96;15.70896362;6.5
14065;d;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;1.09017908;57.82;2.584587671;3.93
14038;a;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;4.080941485;57.82;9.67506279;6.72
14063;d;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;5.364573048;57.82;12.71828603;7.51
14070;e;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;6.057357533;57.82;14.36073384;7.89
14064;d;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;6.520851811;57.82;15.45958229;8.13
14050;b;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;6.861500328;57.82;16.26718902;8.3
14045;b;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;7.233464733;57.82;17.1490392;8.48
14048;b;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;7.338861985;57.82;17.39891414;8.53
14057;c;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;7.747657206;57.82;18.36808252;8.72
14043;b;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;7.769537772;57.82;18.41995679;8.73
14041;b;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;7.968113926;57.82;18.89073951;8.82
14044;b;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;8.192251848;57.82;19.42212387;8.92
14047;b;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;8.910679842;57.82;21.1253671;9.23
14039;a;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;9.0059997;57.82;21.35135064;9.27
14068;e;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;9.0059997;57.82;21.35135064;9.27
14046;b;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;9.491662616;57.82;22.50275632;9.47
