eventId;parentEventId;eventDate;year;samplingProtocol;waterBody;locality;decimalLatitude;decimalLongitude;providedScientificName;scientificName;measurementRemarks;bodyLength;ashFreeDryWeight
1;3;26/05/2004;2004;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59401;18.01027;Berosus sp;Berosus;35;8.01;0.7134
2;2;26/05/2004;2004;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Berosus sp (A);Berosus;35;4.98;1.7856
2;2;26/05/2004;2004;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Berosus sp (A);Berosus;35;4.92;1.8152
2;2;26/05/2004;2004;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Berosus sp (A);Berosus;35;5.18;1.8267
2;2;26/05/2004;2004;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Berosus sp (A);Berosus;35;5.13;1.9615
2;2;26/05/2004;2004;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Berosus sp (A);Berosus;35;5.36;2.1125
2;2;26/05/2004;2004;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Berosus sp (A);Berosus;35;5.4;2.2406
2;2;26/05/2004;2004;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Berosus sp (A);Berosus;35;5.67;2.3323
2;2;26/05/2004;2004;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Berosus sp (A);Berosus;35;5.46;2.6401
2;2;26/05/2004;2004;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Berosus sp (A);Berosus;35;5.66;2.968
3;2;26/05/2004;2004;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Berosus sp (A);Berosus;35;5.5;2.9804
