"catalogNumber","decimalLatitude","decimalLongitude","eventDate","eventTime","kingdom","phylum","class","order","family","genus","scientificName","acceptedNameUsage","scientificNameAuthorship","acceptedNameUsageID","nestCount","breedingPairs"
24,42.58853274,27.63180748,"2021/05/27","8:28:21","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius alexandrinus","Charadrius alexandrinus","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/TMWL",0,1
25,42.59308881,27.6313116,"2021/05/27","8:36:32","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius alexandrinus","Charadrius alexandrinus","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/TMWL",0,2
26,42.618066,27.623462,"2021/05/26","8:41:16","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius alexandrinus","Charadrius alexandrinus","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/TMWL",0,1
27,42.56683996,27.62549062,"2021/05/25","9:26:24","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus","Himantopus himantopus","(Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/3LXZ5",11,11
28,42.56761453,27.62560478,"2021/05/25","9:46:01","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus","Himantopus himantopus","(Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/3LXZ5",2,2
29,42.56587847,27.62827409,"2021/05/25","10:22:21","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus","Himantopus himantopus","(Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/3LXZ5",3,3
30,42.56772551,27.62251228,"2021/05/25","10:16:14","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus","Himantopus himantopus","(Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/3LXZ5",2,2
31,42.56944765,27.62321049,"2021/05/25","10:03:22","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus","Himantopus himantopus","(Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/3LXZ5",1,1
32,42.61759959,27.62736943,"2021/05/26","8:04:27","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus","Himantopus himantopus","(Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/3LXZ5",3,3
33,42.578631,27.612633,"2021/06/20","11:24:14","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus","Himantopus himantopus","(Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/3LXZ5",1,1
34,42.565715,27.6319,"2021/06/18","6:14:42","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus","Himantopus himantopus","(Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/3LXZ5",3,3
35,42.581591,27.61412,"2021/05/26","8:14:27","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Recurvirostra","Recurvirostra avosetta","Recurvirostra avosetta","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/4RP59",8,8
36,42.56724869,27.63186869,"2021/05/15","6:45:17","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Recurvirostra","Recurvirostra avosetta","Recurvirostra avosetta","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/4RP59",5,5
37,42.564944,27.631261,"2021/05/15","6:58:23","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Recurvirostra","Recurvirostra avosetta","Recurvirostra avosetta","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/4RP59",8,8
38,42.565715,27.63169,"2021/06/17","8:24:24","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Recurvirostra","Recurvirostra avosetta","Recurvirostra avosetta","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/4RP59",3,3
39,42.564949,27.632438,"2021/06/17","8:51:28","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Recurvirostra","Recurvirostra avosetta","Recurvirostra avosetta","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/4RP59",12,12
40,42.56761453,27.62560478,"2021/05/25","8:04:27","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sternula","Sternula albifrons","Sternula albifrons","(Pallas, 1764)","https://www.catalogueoflife.org/data/taxon/52G25",2,2
41,42.57333359,27.62331418,"2021/05/25","8:04:31","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sternula","Sternula albifrons","Sternula albifrons","(Pallas, 1764)","https://www.catalogueoflife.org/data/taxon/52G25",5,5
42,42.57408712,27.62378675,"2021/05/25","8:09:13","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sternula","Sternula albifrons","Sternula albifrons","(Pallas, 1764)","https://www.catalogueoflife.org/data/taxon/52G25",1,1
43,42.57482833,27.62384098,"2021/05/25","8:16:37","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sternula","Sternula albifrons","Sternula albifrons","(Pallas, 1764)","https://www.catalogueoflife.org/data/taxon/52G25",1,1
44,42.57524852,27.6239315,"2021/05/25","8:19:42","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sternula","Sternula albifrons","Sternula albifrons","(Pallas, 1764)","https://www.catalogueoflife.org/data/taxon/52G25",1,1
45,42.57547977,27.62408414,"2021/05/25","8:26:23","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sternula","Sternula albifrons","Sternula albifrons","(Pallas, 1764)","https://www.catalogueoflife.org/data/taxon/52G25",4,4
46,42.58678922,27.61791372,"2021/05/25","8:39:57","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sternula","Sternula albifrons","Sternula albifrons","(Pallas, 1764)","https://www.catalogueoflife.org/data/taxon/52G25",3,3
47,42.58670582,27.61534232,"2021/05/25","8:41:11","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sternula","Sternula albifrons","Sternula albifrons","(Pallas, 1764)","https://www.catalogueoflife.org/data/taxon/52G25",2,2
48,42.576837,27.618646,"2021/07/07","8:09:13","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sternula","Sternula albifrons","Sternula albifrons","(Pallas, 1764)","https://www.catalogueoflife.org/data/taxon/52G25",42,42
49,42.567615,27.625605,"2021/05/25","8:24:36","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna hirundo","Sterna hirundo","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/6ZSCT",1,1
50,42.573515,27.623209,"2021/05/25","8:28:41","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna hirundo","Sterna hirundo","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/6ZSCT",1,1
51,42.581591,27.61412,"2021/05/26","8:16:17","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna hirundo","Sterna hirundo","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/6ZSCT",25,25
52,42.618373,27.622119,"2021/05/26","8:22:18","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna hirundo","Sterna hirundo","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/6ZSCT",39,39
53,42.620881,27.629521,"2021/06/01","10:14:21","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna hirundo","Sterna hirundo","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/6ZSCT",1,1
54,42.564944,27.631261,"2021/06/01","10:21:11","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna hirundo","Sterna hirundo","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/6ZSCT",42,42
