"catalogNumber","decimalLatitude","decimalLongitude","eventDate","eventTime","kingdom","phylum","class","order","family","genus","scientificName","acceptedNameUsage","scientificNameAuthorship","acceptedNameUsageID","nestCount","breedingPairs"
94,42.62270601,27.63407202,"2022/06/09","11:03:34","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius dubius","Charadrius dubius","Scopoli, 1786","https://www.catalogueoflife.org/data/taxon/5XPL5",1,1
95,42.581591,27.61412,"2022/05/05","6:04:12","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Recurvirostra","Recurvirostra avosetta","Recurvirostra avosetta","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/4RP59",7,7
96,42.567285,27.6263338,"2022/05/05","6:08:22","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Recurvirostra","Recurvirostra avosetta","Recurvirostra avosetta","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/4RP59",17,17
97,42.564944,27.631261,"2022/05/05","6:12:42","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Recurvirostra","Recurvirostra avosetta","Recurvirostra avosetta","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/4RP59",11,11
98,42.56716,27.63169,"2022/05/05","6:19:46","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Recurvirostra","Recurvirostra avosetta","Recurvirostra avosetta","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/4RP59",49,49
99,42.564949,27.632438,"2022/05/05","6:23:41","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Recurvirostra","Recurvirostra avosetta","Recurvirostra avosetta","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/4RP59",9,9
100,42.573383,27.623419,"2022/05/15","12:24:32","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Recurvirostra","Recurvirostra avosetta","Recurvirostra avosetta","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/4RP59",2,2
101,42.564932,27.632389,"2022/06/14","10:13:32","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sternula","Sternula albifrons","Sternula albifrons","(Pallas, 1764)","https://www.catalogueoflife.org/data/taxon/52G25",5,5
102,42.576463,27.619054,"2022/06/09","9:21:28","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sternula","Sternula albifrons","Sternula albifrons","(Pallas, 1764)","https://www.catalogueoflife.org/data/taxon/52G25",21,21
103,42.574743,27.623833,"2022/06/09","9:46:16","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sternula","Sternula albifrons","Sternula albifrons","(Pallas, 1764)","https://www.catalogueoflife.org/data/taxon/52G25",12,12
104,42.564932,27.632389,"2022/06/14","14:46:23","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna hirundo","Sterna hirundo","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/6ZSCT",15,15
105,42.564944,27.631261,"2022/06/09","5:06:17","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna hirundo","Sterna hirundo","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/6ZSCT",41,41
106,42.567249,27.631869,"2022/06/09","6:26:14","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna hirundo","Sterna hirundo","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/6ZSCT",23,23
107,42.576463,27.619054,"2022/06/09","6:37:39","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna hirundo","Sterna hirundo","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/6ZSCT",76,76
108,42.574743,27.623833,"2022/06/09","7:01:24","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna hirundo","Sterna hirundo","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/6ZSCT",6,6
109,42.567249,27.631869,"2022/06/09","8:29:23","Animalia","Chordata","Aves","Charadriiformes","Laridae","Thalasseus","Thalasseus sandvicensis","Thalasseus sandvicensis","(Latham, 1787)","https://www.catalogueoflife.org/data/taxon/7C5FT",1431,1431
110,42.58311284,27.63254609,"2023/05/01","16:40:27","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Ch. Alexandrinus","Charadrius alexandrinus","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/TMWL",1,1
111,42.58384466,27.63237661,"2023/05/01","16:44:07","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Ch. Alexandrinus","Charadrius alexandrinus","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/TMWL",1,1
112,42.58579773,27.63222179,"2023/05/01","16:48:27","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Ch. Alexandrinus","Charadrius alexandrinus","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/TMWL",2,2
113,42.58835681,27.63175936,"2023/05/01","16:54:25","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Ch. Alexandrinus","Charadrius alexandrinus","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/TMWL",1,1
114,42.59145241,27.63140322,"2023/05/01","17:01:19","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Ch. Alexandrinus","Charadrius alexandrinus","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/TMWL",1,1
115,42.59357337,27.63130775,"2023/05/01","17:06:00","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Ch. Alexandrinus","Charadrius alexandrinus","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/TMWL",4,4
116,42.59605617,27.63105763,"2023/05/01","17:11:21","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Ch. Alexandrinus","Charadrius alexandrinus","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/TMWL",1,1
117,42.59835944,27.63085286,"2023/05/01","17:16:49","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Ch. Alexandrinus","Charadrius alexandrinus","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/TMWL",1,1
118,42.59995426,27.6307568,"2023/05/01","17:19:50","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Ch. Alexandrinus","Charadrius alexandrinus","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/TMWL",1,1
119,42.60045743,27.63074306,"2023/05/01","17:21:11","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Ch. Alexandrinus","Charadrius alexandrinus","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/TMWL",1,1
120,42.60588043,27.63079553,"2023/05/01","17:30:39","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Ch. Alexandrinus","Charadrius alexandrinus","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/TMWL",1,1
121,42.6073388,27.63094917,"2023/05/01","17:33:54","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Ch. Alexandrinus","Charadrius alexandrinus","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/TMWL",1,1
122,42.60865937,27.63105394,"2023/05/01","17:36:18","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Ch. Dubius","Charadrius dubiusÂ Scopoli,","1786","https://www.catalogueoflife.org/data/taxon/5XPL5",1,1
123,42.60991607,27.63123306,"2023/05/01","17:38:41","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Ch. Alexandrinus","Charadrius alexandrinus","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/TMWL",2,2
124,42.61226443,27.63149466,"2023/05/01","17:42:55","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Ch. Alexandrinus","Charadrius alexandrinus","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/TMWL",1,1
125,42.61587636,27.63207553,"2023/05/01","17:50:00","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Ch. Alexandrinus","Charadrius alexandrinus","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/TMWL",2,2
126,42.6169691,27.63229346,"2023/05/01","17:52:07","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Ch. Alexandrinus","Charadrius alexandrinus","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/TMWL",1,1
127,42.62071347,27.63335084,"2023/05/01","17:59:58","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Ch. Dubius","Charadrius dubiusÂ Scopoli,","1786","https://www.catalogueoflife.org/data/taxon/5XPL5",1,1
128,42.576545,27.61913,"2023/05/31","10:41:20","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus","Himantopus himantopus","(Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/3LXZ5",40,40
129,42.589216,27.612837,"2023/05/31","10:53:56","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus","Himantopus himantopus","(Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/3LXZ5",2,2
130,42.5651807,27.6307427,"2023/05/31","9:49:23","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus","Himantopus himantopus","(Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/3LXZ5",8,8
131,42.567027,27.632037,"2023/05/31","9:52:47","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus","Himantopus himantopus","(Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/3LXZ5",2,2
132,42.5733288,27.6234647,"2023/05/31","10:25:23","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus","Himantopus himantopus","(Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/3LXZ5",2,2
133,42.581591,27.61412,"2023/05/31","10:51:24","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Recurvirostra","Recurvirostra avosetta","Recurvirostra avosetta","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/4RP59",31,31
134,42.567285,27.6263338,"2023/05/31","9:44:21","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Recurvirostra","Recurvirostra avosetta","Recurvirostra avosetta","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/4RP59",1,1
135,42.564944,27.631261,"2023/05/31","9:47:36","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Recurvirostra","Recurvirostra avosetta","Recurvirostra avosetta","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/4RP59",11,11
136,42.56716,27.63169,"2023/05/31","9:49:12","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Recurvirostra","Recurvirostra avosetta","Recurvirostra avosetta","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/4RP59",7,7
137,42.564949,27.632438,"2023/05/31","9:46:45","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Recurvirostra","Recurvirostra avosetta","Recurvirostra avosetta","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/4RP59",15,15
138,42.5765915,27.6190057,"2023/05/31","10:21:18","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Recurvirostra","Recurvirostra avosetta","Recurvirostra avosetta","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/4RP59",58,58
139,42.564932,27.632389,"2023/05/31","9:48:18","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sternula","Sternula albifrons","Sternula albifrons","(Pallas, 1764)","https://www.catalogueoflife.org/data/taxon/52G25",8,8
140,42.576463,27.619054,"2023/05/31","10:44:14","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sternula","Sternula albifrons","Sternula albifrons","(Pallas, 1764)","https://www.catalogueoflife.org/data/taxon/52G25",53,53
141,42.574743,27.623833,"2023/05/31","10:32:58","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sternula","Sternula albifrons","Sternula albifrons","(Pallas, 1764)","https://www.catalogueoflife.org/data/taxon/52G25",2,2
142,42.564932,27.632389,"2023/05/31","9:46:48","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna hirundo","Sterna hirundo","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/6ZSCT",3,3
143,42.5813551,27.6142899,"2023/05/31","10:54:41","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna hirundo","Sterna hirundo","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/6ZSCT",12,12
144,42.567249,27.631869,"2023/05/31","9:48:18","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna hirundo","Sterna hirundo","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/6ZSCT",13,13
145,42.576463,27.619054,"2023/05/31","10:51:42","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna hirundo","Sterna hirundo","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/6ZSCT",105,105
146,42.5670948,27.6320739,"2023/05/31","9:42:15","Animalia","Chordata","Aves","Charadriiformes","Laridae","Thalasseus","Thalasseus sandvicensis","Thalasseus sandvicensis","(Latham, 1787)","https://www.catalogueoflife.org/data/taxon/7C5FT",95,95
147,42.564824,27.632211,"2023/05/31","9:43:14","Animalia","Chordata","Aves","Charadriiformes","Laridae","Thalasseus","Thalasseus sandvicensis","Thalasseus sandvicensis","(Latham, 1787)","https://www.catalogueoflife.org/data/taxon/7C5FT",108,108
148,42.5649958,27.6312996,"2023/05/31","9:51:17","Animalia","Chordata","Aves","Charadriiformes","Laridae","Thalasseus","Thalasseus sandvicensis","Thalasseus sandvicensis","(Latham, 1787)","https://www.catalogueoflife.org/data/taxon/7C5FT",80,80
